plotnumber,physiog_agg,analysis_name,analysis_name_w_layer,cover_percent,nlog_cover_percent
3,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,1.5,0.41
3,Mosses and Lichens,Parmelia,Parmelia,0.5,0.5
3,Mosses and Lichens,Peltigera,Peltigera,0.25,0.25
3,Mosses and Lichens,Physcia,Physcia,1,0.1
3,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,40.63,3.7
3,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,0.01,0.01
3,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,0.26,0.26
3,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,37.5,3.62
3,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,10,2.3
3,Seedling_Shrub,Populus_tremuloides,Populus_tremuloides#seed_shrb,0.5,0.5
3,Forbs and Graminoids,Prosartes_trachycarpa,Prosartes_trachycarpa,0.5,0.5
3,Seedling_Shrub,Prunus_virginiana,Prunus_virginiana#seed_shrb,2.25,0.81
3,Mosses and Lichens,Ramalina,Ramalina,0.5,0.5
3,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,6.5,1.87
3,Forbs and Graminoids,Sanicula_marilandica,Sanicula_marilandica,0.25,0.25
3,Mosses and Lichens,Sanionia,Sanionia,0.5,0.5
3,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,5.25,1.66
3,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,1.75,0.56
3,Forbs and Graminoids,Thalictrum_venulosum,Thalictrum_venulosum,0.25,0.25
3,Mosses and Lichens,Usnea,Usnea,2,0.69
3,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,1.5,0.41
3,Mosses and Lichens,Xanthoria,Xanthoria,0.5,0.5
3,Forbs and Graminoids,Zizia_aptera,Zizia_aptera,0.25,0.25
8,Mosses and Lichens,Amblystegium,Amblystegium,0.5,0.5
8,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,0.25,0.25
8,Forbs and Graminoids,Anemonastrum_canadense,Anemonastrum_canadense,1.75,0.56
8,Mosses and Lichens,Brachythecium,Brachythecium,1,0.1
8,Forbs and Graminoids,Chamaenerion_angustifolium,Chamaenerion_angustifolium,0.01,0.01
8,Mosses and Lichens,Cladonia,Cladonia,0.75,0.75
8,Forbs and Graminoids,Equisetum_pratense,Equisetum_pratense,0.01,0.01
8,Mosses and Lichens,Eurhynchium,Eurhynchium,0.5,0.5
8,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,1.5,0.41
8,Forbs and Graminoids,Galium_boreale,Galium_boreale,0.25,0.25
8,Forbs and Graminoids,Hedysarum_alpinum,Hedysarum_alpinum,0.01,0.01
8,Mosses and Lichens,Hylocomium,Hylocomium,1.5,0.41
8,Mosses and Lichens,Hypogymnia,Hypogymnia,0.5,0.5
8,Seedling_Shrub,Juniperus_communis,Juniperus_communis#seed_shrb,0.5,0.5
8,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,1.75,0.56
8,Forbs and Graminoids,Lysimachia_ciliata,Lysimachia_ciliata,0.5,0.5
8,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,0.5,0.5
8,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,1.5,0.41
8,Mosses and Lichens,Mnium,Mnium,0.5,0.5
8,Forbs and Graminoids,Orthilia_secunda,Orthilia_secunda,0.5,0.5
8,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,0.25,0.25
8,Forbs and Graminoids,Packera_indecora,Packera_indecora,0.25,0.25
8,Mosses and Lichens,Parmelia,Parmelia,0.5,0.5
8,Mosses and Lichens,Peltigera,Peltigera,0.5,0.5
8,Mosses and Lichens,Physcia,Physcia,1.5,0.41
8,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,62.5,4.14
8,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,20,3
8,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,3,1.1
8,Mosses and Lichens,Plagiomnium,Plagiomnium,0.5,0.5
8,Mosses and Lichens,Pleurozium,Pleurozium,0.25,0.25
8,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,37.5,3.62
8,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,10,2.3
8,Seedling_Shrub,Populus_tremuloides,Populus_tremuloides#seed_shrb,1.5,0.41
8,Forbs and Graminoids,Prosartes_trachycarpa,Prosartes_trachycarpa,1.51,0.41
8,Seedling_Shrub,Prunus_virginiana,Prunus_virginiana#seed_shrb,1.5,0.41
8,Mosses and Lichens,Ptilium,Ptilium,0.25,0.25
8,Forbs and Graminoids,Pyrola_asarifolia,Pyrola_asarifolia,0.25,0.25
8,Seedling_Shrub,Ribes_oxyacanthoides,Ribes_oxyacanthoides#seed_shrb,0.25,0.25
8,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,3,1.1
8,Mosses and Lichens,Sanionia,Sanionia,0.5,0.5
8,Mosses and Lichens,Sphagnum,Sphagnum,0.5,0.5
8,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,6.5,1.87
8,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,0.25,0.25
8,Forbs and Graminoids,Thalictrum_venulosum,Thalictrum_venulosum,0.5,0.5
8,Mosses and Lichens,Usnea,Usnea,1,0.1
8,Seedling_Shrub,Viburnum_edule,Viburnum_edule#seed_shrb,0.5,0.5
8,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,0.25,0.25
9,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,5,1.61
9,Forbs and Graminoids,Apocynum_androsaemifolium,Apocynum_androsaemifolium,0.25,0.25
9,Mosses and Lichens,Brachythecium,Brachythecium,0.5,0.5
9,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,1.75,0.56
9,Forbs and Graminoids,Galium_boreale,Galium_boreale,1.5,0.41
9,Forbs and Graminoids,Heuchera_richardsonii,Heuchera_richardsonii,0.01,0.01
9,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,0.25,0.25
9,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,1.75,0.56
9,Mosses and Lichens,Orthotrichum,Orthotrichum,0.5,0.5
9,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,43.75,3.78
9,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,10,2.3
9,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,5,1.61
9,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,18.75,2.93
9,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,20,3
9,Seedling_Shrub,Populus_tremuloides,Populus_tremuloides#seed_shrb,0.01,0.01
9,Forbs and Graminoids,Prosartes_trachycarpa,Prosartes_trachycarpa,5,1.61
9,Seedling_Shrub,Prunus_pensylvanica,Prunus_pensylvanica#seed_shrb,10,2.3
9,Seedling_Shrub,Prunus_virginiana,Prunus_virginiana#seed_shrb,18.75,2.93
9,Mosses and Lichens,Pylaisiella,Pylaisiella,0.5,0.5
9,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,5.25,1.66
9,Forbs and Graminoids,Rubus_pubescens,Rubus_pubescens,0.5,0.5
9,Mosses and Lichens,Sanionia,Sanionia,0.5,0.5
9,Seedling_Shrub,Shepherdia_canadensis,Shepherdia_canadensis#seed_shrb,0.01,0.01
9,Forbs and Graminoids,Solidago_canadensis,Solidago_canadensis,0.5,0.5
9,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,18.75,2.93
9,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,0.01,0.01
9,Forbs and Graminoids,Thalictrum_venulosum,Thalictrum_venulosum,5,1.61
9,Forbs and Graminoids,Vicia_americana,Vicia_americana,0.25,0.25
9,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,0.5,0.5
10,Mosses and Lichens,Amblystegium,Amblystegium,0.5,0.5
10,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,2.98,1.09
10,Mosses and Lichens,Brachythecium,Brachythecium,1,0.1
10,Forbs and Graminoids,Clematis_occidentalis,Clematis_occidentalis,0.5,0.5
10,Seedling_Shrub,Cornus_sericea,Cornus_sericea#seed_shrb,1.51,0.41
10,Forbs and Graminoids,Elymus_glaucus,Elymus_glaucus,0.25,0.25
10,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,0.25,0.25
10,Forbs and Graminoids,Galium_boreale,Galium_boreale,0.5,0.5
10,Forbs and Graminoids,Gentianella_amarella,Gentianella_amarella,0.25,0.25
10,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,1.5,0.41
10,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,3,1.1
10,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,1.5,0.41
10,Mosses and Lichens,Mnium,Mnium,0.5,0.5
10,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,6.5,1.87
10,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,10,2.3
10,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,20,3
10,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,0.25,0.25
10,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,62.5,4.14
10,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,20,3
10,Forbs and Graminoids,Prosartes_trachycarpa,Prosartes_trachycarpa,3,1.1
10,Seedling_Shrub,Prunus_virginiana,Prunus_virginiana#seed_shrb,1.5,0.41
10,Mosses and Lichens,Pylaisiella,Pylaisiella,0.5,0.5
10,Seedling_Shrub,Ribes_oxyacanthoides,Ribes_oxyacanthoides#seed_shrb,0.25,0.25
10,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,3,1.1
10,Seedling_Shrub,Rubus_idaeus,Rubus_idaeus#seed_shrb,1.5,0.41
10,Mosses and Lichens,Sanionia,Sanionia,0.5,0.5
10,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,6.5,1.87
10,Forbs and Graminoids,Thalictrum_venulosum,Thalictrum_venulosum,1.75,0.56
10,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,6.5,1.87
11,Forbs and Graminoids,Achillea_millefolium,Achillea_millefolium,0.25,0.25
11,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,0.5,0.5
11,Forbs and Graminoids,Anemonastrum_canadense,Anemonastrum_canadense,0.5,0.5
11,Forbs and Graminoids,Anemone_multifida,Anemone_multifida,0.5,0.5
11,Forbs and Graminoids,Artemisia_ludoviciana,Artemisia_ludoviciana,0.5,0.5
11,Forbs and Graminoids,Campanula_rotundifolia,Campanula_rotundifolia,0.5,0.5
11,Forbs and Graminoids,Chamaenerion_angustifolium,Chamaenerion_angustifolium,0.01,0.01
11,Forbs and Graminoids,Cirsium_flodmanii,Cirsium_flodmanii,0.5,0.5
11,Seedling_Shrub,Crataegus_douglasii,Crataegus_douglasii#seed_shrb,0.01,0.01
11,Seedling_Shrub,Dasiphora_fruticosa,Dasiphora_fruticosa#seed_shrb,0.25,0.25
11,Forbs and Graminoids,Equisetum_pratense,Equisetum_pratense,0.01,0.01
11,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,10,2.3
11,Forbs and Graminoids,Galium_boreale,Galium_boreale,3,1.1
11,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,1,0.1
11,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,1.5,0.41
11,Forbs and Graminoids,Mentha_arvensis,Mentha_arvensis,6.5,1.87
11,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,10,2.3
11,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,5.25,1.66
11,Forbs and Graminoids,Packera_indecora,Packera_indecora,0.25,0.25
11,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,10,2.3
11,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,0.5,0.5
11,Overstory_Tree,Populus_balsamifera,Populus_balsamifera#ostr_tree,37.5,3.62
11,Sapling_Shrub,Populus_balsamifera,Populus_balsamifera#sapl_shrb,0.5,0.5
11,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,37.5,3.62
11,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,37.5,3.62
11,Forbs and Graminoids,Prosartes_trachycarpa,Prosartes_trachycarpa,0.01,0.01
11,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,6.5,1.87
11,Forbs and Graminoids,Sanicula_marilandica,Sanicula_marilandica,0.5,0.5
11,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,23.75,3.17
11,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,0.5,0.5
11,Forbs and Graminoids,Thalictrum_venulosum,Thalictrum_venulosum,3,1.1
11,Forbs and Graminoids,Vicia_americana,Vicia_americana,3,1.1
11,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,6.5,1.87
12,Forbs and Graminoids,Achillea_millefolium,Achillea_millefolium,0.5,0.5
12,Forbs and Graminoids,Antennaria_microphylla,Antennaria_microphylla,1.5,0.41
12,Forbs and Graminoids,Antennaria_neglecta,Antennaria_neglecta,3,1.1
12,Seedling_Shrub,Arctostaphylos_uva-ursi,Arctostaphylos_uva-ursi#seed_shrb,28.75,3.36
12,Forbs and Graminoids,Campanula_rotundifolia,Campanula_rotundifolia,0.5,0.5
12,Forbs and Graminoids,Danthonia_intermedia,Danthonia_intermedia,20,3
12,Seedling_Shrub,Dasiphora_fruticosa,Dasiphora_fruticosa#seed_shrb,1.75,0.56
12,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,6.5,1.87
12,Forbs and Graminoids,Galium_boreale,Galium_boreale,0.5,0.5
12,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,1.75,0.56
12,Forbs and Graminoids,Lupinus_argenteus,Lupinus_argenteus,1.5,0.41
12,Forbs and Graminoids,Mitella_nuda,Mitella_nuda,0.25,0.25
12,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,0.25,0.25
12,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,3,1.1
12,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,0.5,0.5
12,Overstory_Tree,Pinus_contorta,Pinus_contorta#ostr_tree,10,2.3
12,Sapling_Shrub,Pinus_contorta,Pinus_contorta#sapl_shrb,3,1.1
12,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,10,2.3
12,Seedling_Shrub,Populus_tremuloides,Populus_tremuloides#seed_shrb,0.5,0.5
12,Forbs and Graminoids,Pulsatilla_patens,Pulsatilla_patens,0.25,0.25
12,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,1.75,0.56
12,Forbs and Graminoids,Schizachne_purpurascens,Schizachne_purpurascens,5,1.61
12,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,10,2.3
12,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,1.75,0.56
12,Forbs and Graminoids,Vicia_americana,Vicia_americana,0.5,0.5
12,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,0.25,0.25
14,Forbs and Graminoids,Actaea_rubra,Actaea_rubra,0.5,0.5
14,Mosses and Lichens,Amandinea,Amandinea,0.5,0.5
14,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,0.25,0.25
14,Forbs and Graminoids,Anemone_multifida,Anemone_multifida,0.5,0.5
14,Seedling_Shrub,Arctostaphylos_uva-ursi,Arctostaphylos_uva-ursi#seed_shrb,0.25,0.25
14,Forbs and Graminoids,Astragalus_canadensis,Astragalus_canadensis,0.26,0.26
14,Mosses and Lichens,Brachythecium,Brachythecium,0.5,0.5
14,Mosses and Lichens,Candelariella,Candelariella,0.5,0.5
14,Forbs and Graminoids,Circaea_alpina,Circaea_alpina,0.5,0.5
14,Mosses and Lichens,Cladonia,Cladonia,1.5,0.41
14,Forbs and Graminoids,Clematis_occidentalis,Clematis_occidentalis,0.25,0.25
14,Forbs and Graminoids,Cornus_canadensis,Cornus_canadensis,1.5,0.41
14,Seedling_Shrub,Cornus_sericea,Cornus_sericea#seed_shrb,0.5,0.5
14,Mosses and Lichens,Eurhynchium,Eurhynchium,0.5,0.5
14,Forbs and Graminoids,Eurybia_conspicua,Eurybia_conspicua,0.5,0.5
14,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,1.5,0.41
14,Forbs and Graminoids,Galium_boreale,Galium_boreale,0.25,0.25
14,Forbs and Graminoids,Gentianella_amarella,Gentianella_amarella,0.5,0.5
14,Forbs and Graminoids,Hieracium_umbellatum,Hieracium_umbellatum,0.25,0.25
14,Mosses and Lichens,Hylocomium,Hylocomium,10,2.3
14,Mosses and Lichens,Hypogymnia,Hypogymnia,0.5,0.5
14,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,1.5,0.41
14,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,0.5,0.5
14,Mosses and Lichens,Melanelia,Melanelia,0.5,0.5
14,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,1.5,0.41
14,Forbs and Graminoids,Orthilia_secunda,Orthilia_secunda,1.5,0.41
14,Mosses and Lichens,Parmelia,Parmelia,0.5,0.5
14,Mosses and Lichens,Peltigera,Peltigera,0.75,0.75
14,Mosses and Lichens,Physcia,Physcia,1,0.1
14,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,38.44,3.65
14,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,10,2.3
14,Mosses and Lichens,Pleurozium,Pleurozium,0.25,0.25
14,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,38.44,3.65
14,Seedling_Shrub,Prunus_virginiana,Prunus_virginiana#seed_shrb,0.25,0.25
14,Mosses and Lichens,Ramalina,Ramalina,0.5,0.5
14,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,3,1.1
14,Forbs and Graminoids,Rubus_pubescens,Rubus_pubescens,1.5,0.41
14,Forbs and Graminoids,Sanicula_marilandica,Sanicula_marilandica,0.25,0.25
14,Mosses and Lichens,Sanionia,Sanionia,0.5,0.5
14,Seedling_Shrub,Shepherdia_canadensis,Shepherdia_canadensis#seed_shrb,1.5,0.41
14,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,3,1.1
14,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,0.25,0.25
14,Mosses and Lichens,Usnea,Usnea,1.5,0.41
14,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,1.5,0.41
14,Forbs and Graminoids,Zizia_aptera,Zizia_aptera,0.5,0.5
18,Seedling_Shrub,Arctostaphylos_uva-ursi,Arctostaphylos_uva-ursi#seed_shrb,0.5,0.5
18,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,0.25,0.25
18,Forbs and Graminoids,Galium_boreale,Galium_boreale,0.25,0.25
18,Mosses and Lichens,Hylocomium,Hylocomium,0.5,0.5
18,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,0.25,0.25
18,Forbs and Graminoids,Linnaea_borealis,Linnaea_borealis,3,1.1
18,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,0.01,0.01
18,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,0.25,0.25
18,Forbs and Graminoids,Moneses_uniflora,Moneses_uniflora,0.25,0.25
18,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,3,1.1
18,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,40.63,3.7
18,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,10,2.3
18,Overstory_Tree,Pinus_contorta,Pinus_contorta#ostr_tree,10,2.3
18,Sapling_Shrub,Pinus_contorta,Pinus_contorta#sapl_shrb,3,1.1
18,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,20,3
18,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,10,2.3
18,Seedling_Shrub,Populus_tremuloides,Populus_tremuloides#seed_shrb,0.5,0.5
18,Forbs and Graminoids,Prosartes_trachycarpa,Prosartes_trachycarpa,3,1.1
18,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,1.75,0.56
18,Seedling_Shrub,Rubus_idaeus,Rubus_idaeus#seed_shrb,0.25,0.25
18,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,6.5,1.87
18,Forbs and Graminoids,Vicia_americana,Vicia_americana,0.5,0.5
18,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,0.5,0.5
20,Forbs and Graminoids,Achillea_millefolium,Achillea_millefolium,0.5,0.5
20,Mosses and Lichens,Amblystegium,Amblystegium,0.5,0.5
20,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,6.5,1.87
20,Seedling_Shrub,Arctostaphylos_uva-ursi,Arctostaphylos_uva-ursi#seed_shrb,3,1.1
20,Forbs and Graminoids,Astragalus_canadensis,Astragalus_canadensis,0.5,0.5
20,Mosses and Lichens,Bryoria,Bryoria,0.5,0.5
20,Mosses and Lichens,Candelariella,Candelariella,0.5,0.5
20,Forbs and Graminoids,Chamaenerion_angustifolium,Chamaenerion_angustifolium,0.5,0.5
20,Mosses and Lichens,Cyphelium,Cyphelium,0.5,0.5
20,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,3,1.1
20,Forbs and Graminoids,Galium_boreale,Galium_boreale,1.75,0.56
20,Forbs and Graminoids,Geranium_richardsonii,Geranium_richardsonii,0.5,0.5
20,Mosses and Lichens,Hypogymnia,Hypogymnia,0.5,0.5
20,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,1.5,0.41
20,Mosses and Lichens,Lecanora,Lecanora,1,0.1
20,Forbs and Graminoids,Lycopus_uniflorus,Lycopus_uniflorus,0.5,0.5
20,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,0.25,0.25
20,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,0.5,0.5
20,Forbs and Graminoids,Orthilia_secunda,Orthilia_secunda,0.25,0.25
20,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,1.75,0.56
20,Mosses and Lichens,Parmelia,Parmelia,0.5,0.5
20,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,3,1.1
