plotnumber,sourceyr,ecoregion,ecoregion_title,ecodistr,ecodistr_title,ecosite,ecosite_title,ecosite_soil_component,mean_tree_age_year,dominanttree,dominantshrub,dominantherb,dominantcryptogam,laivascular,laitotal,position,slope_position_title,aspect,aspect_cardinal,slope,slope_class_degrees_title,drainage,drainage_title,seepage,elevation_m,mr,soil_moisture_class_title,pm,parent_material_title,order_soil,soil_order_title,grgroup,soil_great_group_title,subgrp,soil_subgroup_title,cf_percent_120,particlesizeclassname_dom_0_30,depth_to_bedrock_cm,depth_to_water_table_cm,depth_to_root_restricting_cm,depth_of_organic_matter_cm,total_live_cover_percent,unknown_taxa_total_cover_percent,number_of_taxa_after_transform,calcareous_0_30,leaf_litter,needle_litter,rock,soil,water,woody_debris,broadleaf_tree,needleleaf_tree,broadleaf_overstory_tree,broadleaf_sapling,broadleaf_seedling,needleleaf_overstory_tree,needleleaf_sapling,needleleaf_seedling,shrub_cover,floating_aquatic_cover,forbs_and_graminoids,bryophytes_and_lichens,submerged_aquatic
21,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,68.5,PICEGLA,SHEPCAN,RANUABO,EURHPUL,292.52,293.92,3,Mid Slope,240,W,4,5.0 – 9.0 degrees,5,Imperfect,0,119,6,Moderately Moist,2,Glacial-fluvial,3,Chernozemic,13,Black,GLE,Gleyed ,0,Loamy,NA,NA,NA,6,190.02,1.75,46,non-calcareous,23.75,6.5,0,0,0,11.5,28.18,50,20,10,0.25,37.5,20,0,22.41,0,71.02,6.5,0
23,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,41.5,POPUTRE,ARCTUVA,THALVEN,AMBLSER,240.29,240.69,3,Mid Slope,124,E,1,0 – 0.5 degrees,3,Well,0,136,4,Fresh,2,Glacial-fluvial,5,Brunisolic,8,"Eutric				",ORT,Orthic,10,Loamy,NA,NA,NA,11,190.04,0,37,non-calcareous,0.25,0,0,0,0,0.25,92.23,1.51,37.5,87.5,0.5,0,1.5,0.01,10.59,0,50.52,1.5,0
24,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,NA,POPUTRE,AMELALN,ELYMGLA,NA,277.3,277.3,2,Upper Slope,294,W,5,9.0 – 15.0 degrees,3,Well,0,132,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,13,Loamy,NA,NA,NA,12,211,1.75,28,non-calcareous,31.5,0.25,0,0,0,3,87.56,0,87.5,0,0.5,0,0,0,40.7,0,73.75,0,0
30,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,66,POPUTRE,ARCTUVA,GRAMSPP,XANTPOL,443.445,444.145,2,Upper Slope,315,W,6,15.0 – 30.0 degrees,3,Well,0,135,4,Fresh,2,Glacial-fluvial,5,Brunisolic,8,"Eutric				",ORT,Orthic,38,Fine-Clayey,NA,NA,NA,7,188.91,167.5,29,non-calcareous,62.5,28.75,0,0,0,0,41.88,10,0,20,27.36,10,0,0,65.53,0,57.28,3.5,0
31,1999 2000,PR,Prairie,N2,Cypress Hills,PR3,Trembling aspen - lodgepole pine/bearberry,Fresh clay loam,67.33333588,POPUTRE,ARCTUVA,GRAMSPP,MELAEXA,308.84,309.34,3,Mid Slope,104,E,3,2.0 – 5.0 degrees,3,Well,0,135,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,20,Coarse-Silty,NA,NA,NA,7,214.1,10.01,40,non-calcareous,18.75,31.25,0,0,0,0.25,81,28.22,69.53,37.5,0.25,27.1,0.01,1.52,24.13,0,47.02,2.5,0
33,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,79,POPUTRE,ROSAACI,FRAGVIR,CALOEPI,209.11,209.51,4,Lower Slope,60,E,3,2.0 – 5.0 degrees,2,Rapid,0,134,3,Moderately Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,16,Loamy,NA,NA,NA,3,155.51,11.755,29,non-calcareous,62.5,0.25,0,0,0,10.25,71.5,0,62.5,20,5,0,0,0,20.16,0,44.75,2,0
35,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,69,POPUTRE,JUNICOM,GRAMSPP,LECAHAG,299.9,300.7,2,Upper Slope,48,E,3,2.0 – 5.0 degrees,3,Well,0,135,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,3,Fine-Clayey,NA,NA,NA,6,205.81,162.75,36,non-calcareous,75,0,0,0,0,5.25,95.34,0.01,87.5,62.5,0.5,0,0,0.01,14.44,0,36.29,4,0
37,1999 2000,PR,Prairie,N2,Cypress Hills,PR6,White spruce/grass/other mosses,Fresh silty clay,61.5,PICEGLA,SYMPOCC,GRAMSP2,BRYOSPP,134.24,199.44,2,Upper Slope,351,N,5,9.0 – 15.0 degrees,3,Well,0,126,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,30,Coarse-Silty,NA,NA,NA,10,133.8,10.5,51,non-calcareous,3,75,0,0,0,23.75,0.76,89.28,0,0,0.76,87.5,10,4.75,5.89,0,10.77,14,0
41,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,56.5,POPUTRE,ARCTUVA,DANTINT,XANTPOL,159.21,159.61,3,Mid Slope,44,N,3,2.0 – 5.0 degrees,3,Well,0,133,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",BRU,Brunisolic,7,Coarse-Silty,NA,NA,NA,5,160.52,1.75,29,non-calcareous,75,0,0,0,0,1.75,87.53,0,0,87.5,0.26,0,0,0,16.29,0,53.76,2,0
51,2001,BS,Boreal Shield,C2,Carswell Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,100.5,PINUBAN,VACCMYR,NA,CLADMIT,32.51,121.91,3,Mid Slope,145,S,3,2.0 – 5.0 degrees,2,Rapid,0,340,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,25,Sandy,NA,NA,NA,4,122.01,0,8,non-calcareous,0,18.75,0,0,0,10,0,28,0,0,0,20,10,0.01,1.5,0,0,90.5,0
52,1999 2000,BS,Boreal Shield,C2,Carswell Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,116,PINUBAN,ARCTUVA,CYPRACA,CLADMIT,57.56,147.06,5,Toe Slope,315,W,3,2.0 – 5.0 degrees,4,Moderately well,0,131,5,Very Fresh,6,Eolian,9,Podzolic,20,Humo-Ferric,OST,NA,0,Sandy,NA,NA,NA,5,139.76,0,10,non-calcareous,0,75,0,0,0,10,0,39.38,0,0,0,37.5,3,0,8.09,0,0.01,91,0
53,2001,BS,Boreal Shield,C2,Carswell Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,73.5,PINUBAN,ROSAACI,ARALNUD,HYLOSPL,100,103.3,2,Upper Slope,130,E,4,5.0 – 9.0 degrees,2,Rapid,0,343,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,61,Loamy,NA,NA,NA,6,106.75,2.25,28,non-calcareous,6.5,15,28.75,0,0,6.5,21.43,45.44,10,10,3,39.38,10,0,16.66,0,11,4.5,0
54,2001,BS,Boreal Shield,C2,Carswell Plain,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,82.75,PINUBAN,ALNUCRI,GEOCLIV,LICHSPP,95.62,96.52,2,Upper Slope,334,N,6,15.0 – 30.0 degrees,1,Very rapid,0,342,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,68,Sandy,NA,NA,NA,8,103.01,0,19,non-calcareous,45.25,62.5,0,0,0,10,37.66,39.38,0,37.5,0.25,37.5,3,0,14.42,0,2.76,7,0
55,2001,BS,Boreal Shield,C2,Carswell Plain,BS17,Black spruce treed bog,Very moist mesic organic,117,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,48.31,88.71,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,314,9,Moderately Wet,7,Organic,1,Organic,3,Humisol,TER,Terric,0,Organic Fibric,NA,65,NA,84,137.76,3.25,21,non-calcareous,20.25,0.5,0,0,0,0.5,0,23.95,0,0,0,0,22.4,1.99,17.22,0,4.76,89.75,0
56,2001,BS,Boreal Shield,C2,Carswell Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,80,PINUBAN,ARCTUVA,LINNBOR,PLEUSCH,117.26,152.56,5,Toe Slope,172,S,2,0.5 – 2.0 degrees,4,Moderately well,0,299,5,Very Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,6,146.27,0.75,20,non-calcareous,0.25,28.75,0,0,0,3,0,39.53,0,0,0,37.5,3,0.25,52.56,0,5.51,36.25,0
58,1999 2000,PR,Prairie,N2,Cypress Hills,PR6,White spruce/grass/other mosses,Fresh silty clay,92.5,PICEGLA,SYMPALB,GRAMSP2,DREPUNC,230.66,231.56,1,Crest,230,W,2,0.5 – 2.0 degrees,3,Well,0,128,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,3,Fine-Clayey,NA,NA,NA,3,165.1,32.75,37,non-calcareous,10.25,1.75,0,0,0,23.75,10.01,57.4,0,0,10.01,37.5,0,31.84,28.3,0,47.25,6.5,0
59,2001,BS,Boreal Shield,C2,Carswell Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,86.33333588,PINUBAN,VIBUEDU,LYCOANN,PLEUSCH,159.66,176.31,1,Crest,330,N,2,0.5 – 2.0 degrees,1,Very rapid,0,313,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,74,Sandy,NA,NA,NA,8,145.64,2,27,non-calcareous,62.5,6.5,0,0,0,20,43.78,29.08,20,22.4,9.44,20,10,1.5,14.41,0,27.26,19,0
60,2001,BS,Boreal Shield,C2,Carswell Plain,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,48.25,PINUBAN,VACCVIT,LINNBOR,HYLOSPL,55.23,64.78,4,Lower Slope,315,W,4,5.0 – 9.0 degrees,2,Rapid,0,334,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,34,Sandy,NA,NA,NA,5,65.53,0,19,non-calcareous,28.75,28.75,0,0,0,15,3,24.73,0,3,0.01,22.4,3,0,22.62,0,2.01,11.25,0
61,2001,BS,Boreal Shield,C2,Carswell Plain,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,55,PINUBAN,VACCMYR,CORNCAN,PLEUSCH,107.455,126.955,7,Level,999,L,1,0 – 0.5 degrees,1,Very rapid,0,316,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,79,Sandy,NA,NA,NA,5,125.01,4.75,28,non-calcareous,15,28.75,0,0,0,15,23.56,19,3,20,1.5,10,10,0,45.39,0,11.76,20.25,0
63,2001,BS,Boreal Shield,C2,Carswell Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,42.83333206,POPUTRE,VACCMYR,LYCOCOM,PLEUSCH,113.28,118.78,2,Upper Slope,278,W,5,9.0 – 15.0 degrees,1,Very rapid,0,319,1,Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,79,Sandy,NA,NA,NA,8,121.78,0,31,non-calcareous,62.5,23.75,0,0,0,3,42.96,20.8,39.38,5.91,0,20,1,0,28.91,0,11.27,10.25,0
67,2001,BS,Boreal Shield,C2,Carswell Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,57.16666794,PICEMAR,ALNUCRI,CORNCAN,HYLOSPL,217.29,227.69,7,Level,999,L,1,0 – 0.5 degrees,1,Very rapid,0,325,3,Moderately Fresh,3,Morainal,4,Luvisolic,7,"Gray						",ORT,Orthic,88,Sandy,NA,NA,NA,7,225.78,0.005,30,non-calcareous,32.75,23.75,0,0,0,50,14.01,89.14,10,3,1.5,85.35,24.73,1.5,31.13,0,6.01,6,0
68,2001,BS,Boreal Shield,C2,Carswell Plain,BS6,Jack pine - trembling aspen/green alder,Moderately fresh loamy sand,52,POPUTRE,ALNUCRI,CORNCAN,HYLOSPL,87.14,99.09,3,Mid Slope,22,N,6,15.0 – 30.0 degrees,2,Rapid,0,317,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,50,Sandy,NA,NA,NA,6,91.28,0.25,24,non-calcareous,75,10,0,0,0,6.5,35.37,12.7,20,19,0.25,10,3,0,22.01,0,2.76,11.5,0
69,2001,BS,Boreal Shield,C2,Carswell Plain,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,77.25,POPUTRE,ALNUCRI,LYCOANN,HYLOSPL,110.415,133.115,4,Lower Slope,228,W,3,2.0 – 5.0 degrees,1,Very rapid,0,327,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,69,Sandy,NA,NA,49,9,131.91,0.5,18,non-calcareous,53.75,15,0,0,0,10,43.75,22.4,37.5,10,0,20,3,0,31.45,0,3.76,23.75,0
73,2001,BS,Boreal Shield,C3,McTaggart Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,52.5,PINUBAN,VACCMYR,NA,CLADMIT,83.9,135.555,4,Lower Slope,310,W,4,5.0 – 9.0 degrees,1,Very rapid,0,494,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,71,Sandy,NA,NA,NA,5,137.01,0,6,non-calcareous,0.5,28.75,10.25,0,0,3,0,62.5,0,0,0,0,62.5,0,22.04,0,0,52.01,0
74,2001,BS,Boreal Shield,C2,Carswell Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,51,PINUBAN,VACCMYR,NA,CLADMIT,33.75,96.55,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,483,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,2,100.5,0,5,non-calcareous,0,37.5,0,5,0,6.5,0,22.4,0,0,0,3,20,0,11.5,0,0,66,0
75,2001,BS,Boreal Shield,C3,McTaggart Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,50.75,PICEMAR,VACCVIT,NA,PLEUSCH,50.25,141.85,3,Mid Slope,291,W,5,9.0 – 15.0 degrees,4,Moderately well,0,521,5,Very Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,28,Loamy,NA,NA,NA,7,143.75,0,14,non-calcareous,0,3,0,0,0,6.5,0,41.23,0,0,0,19,22.4,6.5,2.49,0,0,91.75,0
76,2001,BS,Boreal Shield,C3,McTaggart Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,58.5,PINUBAN,VACCVIT,NA,PLEUSCH,50.1,157,5,Toe Slope,102,E,5,9.0 – 15.0 degrees,4,Moderately well,0,522,5,Very Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,22,Loamy,NA,NA,NA,4,128.5,0,12,non-calcareous,19,41.25,0,0,0,10,0,39.38,0,0,0,3,37.5,0,10.33,0,0,77.25,0
77,2001,BS,Boreal Shield,C3,McTaggart Plain,BS17,Black spruce treed bog,Very moist mesic organic,115,PICEMAR,LEDUGRO,RUBUCHA,CLADMIT,76.405,88.455,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,507,10,Wet,7,Organic,1,Organic,2,Mesisol,FIB,Fibric,0,Organic Fibric,NA,65,NA,160,112.94,0,13,non-calcareous,3,1.75,0,0,0,1.75,0,37.34,0,0,0,0,20,21.68,23.3,0,10,36.25,0
78,2001,BS,Boreal Shield,C3,McTaggart Plain,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,45.25,PICEMAR,VACCVIT,NA,PLEUSCH,41.41,89.81,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,518,7,Moist,4,Lacustrine,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,0,Loamy,NA,NA,NA,8,91.74,0,15,non-calcareous,0,15,0,0,0,5,0,24.15,0,0,0,3.49,19,2.98,14.07,0,0,50.5,0
80,2001,BS,Boreal Shield,C3,McTaggart Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,63.75,PINUBAN,VACCMYR,LYCOCOM,CLADMIT,101.85,143.65,5,Toe Slope,309,W,2,0.5 – 2.0 degrees,5,Imperfect,0,514,7,Moist,1,Fluvial,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,73,Loamy,NA,NA,NA,8,149.25,0,19,non-calcareous,20.25,15,0,0,0,6.5,0,32.26,0,0,0,20,15.32,0,54.44,0,1.25,43.25,0
82,2001,BS,Boreal Shield,C3,McTaggart Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,102.5,PINUBAN,VACCMYR,NA,CLADMIT,80,155.455,3,Mid Slope,310,W,2,0.5 – 2.0 degrees,3,Well,0,496,4,Fresh,6,Eolian,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,2,156.76,0,5,non-calcareous,0,28.75,1.5,0,0,1.75,0,63.63,0,0,0,3,62.5,0,15,0,0,76.26,0
83,2001,BS,Boreal Shield,C3,McTaggart Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,74,PINUBAN,HUDSTOM,NA,CLADMIT,10.355,98.255,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,517,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,9,Sandy,NA,NA,NA,2,99.51,0,7,non-calcareous,0,15,0,1.75,0,0.25,0,10.23,0,0,0,0,10,0.25,0.75,0,0,88.5,0
84,2001,BS,Boreal Shield,C3,McTaggart Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,48.5,PINUBAN,VACCMYR,LINNBOR,CLADMIT,71.5,73.4,4,Lower Slope,310,W,2,0.5 – 2.0 degrees,2,Rapid,0,515,4,Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,5,Sandy,NA,NA,NA,2,71.75,0,13,non-calcareous,5.25,62.5,0,0,0,3,0,39.38,0,0,0,3,37.5,0,21.59,0,3.5,4.5,0
86,2001,BS,Boreal Shield,C3,McTaggart Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,90.5,PINUBAN,VACCMYR,NA,CLADMIT,47.56,50.56,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,516,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,34,Loamy,NA,NA,NA,3,55.01,0,8,non-calcareous,0.5,62.5,0,0,0,3,0,22.4,0,0,0,20,3,0.01,25.08,0,0,6.5,0
88,2001,BS,Boreal Shield,C3,McTaggart Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,161,PINUBAN,ALNUCRI,ORYZPUN,CLADMIT,44.06,51.11,7,Level,999,L,1,0 – 0.5 degrees,4,Moderately well,0,517,5,Very Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,12,Sandy,NA,NA,NA,2,55.51,0.25,14,non-calcareous,1.75,62.5,0,1.5,0,6.5,0,12.7,0,0,0,10,3,0.01,27.8,0,2,10.5,0
89,2001,BS,Boreal Shield,C3,McTaggart Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,83.5,PINUBAN,ALNUCRI,MAIACAN,PLEUSCH,112.7,115.9,4,Lower Slope,134,E,2,0.5 – 2.0 degrees,4,Moderately well,0,539,5,Very Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,58,Loamy,NA,NA,NA,4,120,0,11,non-calcareous,45.25,23.75,3,0.25,0,15,0,20.4,0,0,0,20,0.5,0,69.93,0,0.5,6,0
90,2001,BS,Boreal Shield,C3,McTaggart Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,129.5,PINUBAN,ARCTUVA,NA,CLADMIT,50.06,60.56,2,Upper Slope,254,W,5,9.0 – 15.0 degrees,1,Very rapid,0,543,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,88,Loamy,NA,NA,NA,2,58.26,0,9,non-calcareous,0.25,28.75,10.25,10,0,3,0,20,0,0,0,0,20,0.01,26.21,0,0,11.25,0
93,1999 2000,TS,Taiga Shield,B1,Uranium City Upland,TS9,Black spruce treed bog,Moderately wet mesic organic,51.5,PICEMAR,LEDUGRO,RUBUCHA,BRYOSPP,91.175,117.025,7,Level,20,N,1,0 – 0.5 degrees,7,Very poor,0,340,9,Moderately Wet,7,Organic,7,Cryosolic,17,Organic        ,MES,Mesic,0,Organic Fibric,NA,NA,NA,160,125.75,7.755,48,non-calcareous,0.5,0.5,0,0,0,3,0,26.27,0,0,0,5,20.01,2.98,37.74,0,5.25,50.5,0
