province,plant_community_code,plant_community_name_scientific,plant_community_name_common,successional_state,analysis_name,avg_cover_percent,avg_nlog_cover_percent,constancy_percent,prominence_value,nlog_prominence_value
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Cerastium_arvense,3.06,1.12,82.14,2.78,1.02
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Chamaerhodos_erecta,0.72,0.72,25,0.36,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Comandra_umbellata,1.23,0.21,32.14,0.7,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Elymus_lanceolatus,1.66,0.5,25,0.83,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Festuca_hallii,2.46,0.9,57.14,1.86,0.62
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Festuca_saximontana,4.3,1.46,71.43,3.63,1.29
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Galium_boreale,0.65,0.65,28.57,0.35,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Geum_triflorum,2.49,0.91,25,1.24,0.22
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Hesperostipa_comata,6.05,1.8,82.14,5.49,1.7
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Hesperostipa_curtiseta,1.67,0.52,53.57,1.23,0.2
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Heterotheca_villosa,1.89,0.64,71.43,1.6,0.47
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Heuchera_richardsonii,0.28,0.28,25,0.14,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Juniperus_horizontalis,4.73,1.55,28.57,2.53,0.93
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Koeleria_macrantha,6.68,1.9,85.71,6.18,1.82
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Lithospermum_incisum,0.5,0.5,21.43,0.23,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Pascopyrum_smithii,3.51,1.26,32.14,1.99,0.69
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Phlox_hoodii,1.1,0.1,21.43,0.51,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Populus_tremuloides,0.23,0.23,21.43,0.11,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Potentilla_pensylvanica,0.46,0.46,25,0.23,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Pulsatilla_patens,2.63,0.97,28.57,1.41,0.34
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Solidago_missouriensis,2.75,1.01,39.29,1.72,0.54
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Sporobolus_rigidus,5.44,1.69,92.86,5.25,1.66
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Thermopsis_rhombifolia,5.24,1.66,42.86,3.43,1.23
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Vicia_americana,0.3,0.3,28.57,0.16,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Arctostaphylos_uva-ursi,7.87,2.06,27.78,4.15,1.42
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Artemisia_frigida,5.77,1.75,80.56,5.18,1.64
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Bouteloua_gracilis,1.79,0.58,22.22,0.85,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Calamagrostis_montanensis,2.76,1.02,30.56,1.53,0.42
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Campanula_rotundifolia,1.03,0.03,33.33,0.6,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Carex_duriuscula,2.15,0.76,27.78,1.13,0.12
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Carex_filifolia,2.8,1.03,22.22,1.32,0.28
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Carex_inops,12.18,2.5,77.78,10.74,2.37
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Carex_obtusata,11.38,2.43,75,9.86,2.29
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Carex_siccata,4.39,1.48,33.33,2.54,0.93
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Cerastium_arvense,1.4,0.34,41.67,0.91,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Comandra_umbellata,1.92,0.65,44.44,1.28,0.25
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Elaeagnus_commutata,1.46,0.38,22.22,0.69,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Elymus_lanceolatus,8.36,2.12,63.89,6.68,1.9
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Elymus_trachycaulus,3.4,1.22,36.11,2.04,0.71
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Equisetum_hyemale,2.35,0.85,22.22,1.11,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Festuca_hallii,9.3,2.23,47.22,6.39,1.86
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Festuca_saximontana,1.61,0.48,50,1.14,0.13
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Galium_boreale,3.99,1.38,66.67,3.26,1.18
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Helictochloa_hookeri,2.67,0.98,38.89,1.67,0.51
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Hesperostipa_comata,2.68,0.98,66.67,2.19,0.78
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Hesperostipa_curtiseta,3.8,1.34,33.33,2.19,0.79
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Heterotheca_villosa,1.22,0.2,41.67,0.79,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Juniperus_horizontalis,53.44,3.98,97.22,52.69,3.96
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Koeleria_macrantha,4.22,1.44,72.22,3.59,1.28
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Ladeania_lanceolata,8.71,2.16,25,4.36,1.47
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Maianthemum_stellatum,3.85,1.35,27.78,2.03,0.71
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Oxytropis_sericea,2.42,0.88,36.11,1.45,0.37
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Pascopyrum_smithii,2.65,0.97,36.11,1.59,0.46
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Populus_tremuloides,1.13,0.12,25,0.56,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Prunus_virginiana,1.46,0.38,55.56,1.09,0.08
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Pulsatilla_patens,1.72,0.54,41.67,1.11,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Selaginella_densa,7.54,2.02,22.22,3.55,1.27
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Sporobolus_rigidus,6.95,1.94,72.22,5.91,1.78
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Symphoricarpos_occidentalis,0.7,0.7,50,0.49,0.1
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Thermopsis_rhombifolia,4.57,1.52,47.22,3.14,1.14
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Vicia_americana,1.83,0.6,55.56,1.36,0.31
Saskatchewan,AP-DN-C,Juniperus horizontalis,Creeping Juniper,not defined,Viola_adunca,0.78,0.78,25,0.39,0.1
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Anemone_multifida,6.7,1.9,25,3.35,1.21
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Artemisia_frigida,8.15,2.1,75,7.06,1.95
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Bouteloua_gracilis,5.75,1.75,25,2.88,1.06
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Calamagrostis_montanensis,3.33,1.2,37.5,2.04,0.71
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Carex,13.54,2.61,100,13.54,2.61
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Elymus_lanceolatus,10.96,2.39,87.5,10.25,2.33
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Festuca_hallii,17.13,2.84,50,12.11,2.49
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Geum_triflorum,3.5,1.25,25,1.75,0.56
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Helictochloa_hookeri,1.75,0.56,50,1.24,0.21
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Hesperostipa_comata,18.46,2.92,62.5,14.59,2.68
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Hesperostipa_curtiseta,29.57,3.39,87.5,27.66,3.32
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Heterotheca_villosa,1.83,0.61,37.5,1.12,0.12
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Koeleria_macrantha,11.86,2.47,87.5,11.09,2.41
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Pascopyrum_smithii,0.7,0.7,25,0.35,0.1
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Poa_secunda,3.88,1.35,50,2.74,1.01
Saskatchewan,AP-GR-B,Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.,Pasture Sage - Needle-and-thread - June Grass - Sedge,moderate alteration from RC,Pulsatilla_patens,3.67,1.3,37.5,2.25,0.81
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Achillea_millefolium,0.38,0.38,37.04,0.23,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Agrostis_scabra,0.08,0.08,25.93,0.04,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Artemisia_frigida,3.48,1.25,70.37,2.92,1.07
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Artemisia_ludoviciana,0.61,0.61,37.04,0.37,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Campanula_rotundifolia,0.1,0.1,25.93,0.05,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Carex,7.32,1.99,100,7.32,1.99
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Cerastium_arvense,0.16,0.16,33.33,0.09,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Elymus_lanceolatus,12.24,2.5,74.07,10.54,2.35
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Elymus_trachycaulus,2.59,0.95,44.44,1.72,0.54
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Festuca_hallii,37.82,3.63,100,37.82,3.63
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Festuca_saximontana,0.18,0.18,33.33,0.1,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Fragaria_virginiana,0.32,0.32,29.63,0.17,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Galium_boreale,0.09,0.09,22.22,0.04,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Geum_triflorum,1.21,0.19,40.74,0.77,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Helictochloa_hookeri,1.42,0.35,51.85,1.02,0.02
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Hesperostipa_curtiseta,10.16,2.32,85.19,9.37,2.24
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Koeleria_macrantha,2.47,0.9,77.78,2.18,0.78
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Muhlenbergia_richardsonis,3.26,1.18,22.22,1.54,0.43
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Oxytropis_campestris,0.09,0.09,29.63,0.05,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Pascopyrum_smithii,1.63,0.49,37.04,0.99,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Poa_pratensis,2.05,0.72,37.04,1.25,0.22
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Pulsatilla_patens,1.46,0.38,37.04,0.89,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Symphyotrichum_ericoides,0.44,0.44,29.63,0.24,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Symphyotrichum_laeve,0.07,0.07,22.22,0.03,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Taraxacum_officinale,0.04,0.04,22.22,0.02,0.1
Saskatchewan,AP-LM-A,Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta,Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass,reference community,Thermopsis_rhombifolia,0.49,0.49,25.93,0.25,0.1
